World Tourism Organization (2018), Compendium of Tourism Statistics dataset [Electronic], UNWTO, Madrid, data updated on 19/09/2018.;;;;;;;;;;;;;;;;;;;;;;;;
Conceptual references and technical notes are available in the Methodological Notes to the Tourism Statistics Database:;;;;;;;;;;;;;;;;;;;;;;;;
http://statistics.unwto.org/news/2018-03-23/methodological-notes-tourism-statistics-database-2018-edition;;;;;;;;;;;;;;;;;;;;;;;;
Compendium of Tourism Statistics - Basic data and indicators;;;;;;;;;;;;;;;;;;;;;;;;
Series 1.20: Inbound tourism - Arrivals by air - Thousands;;;;;;;;;;;;;;;;;;;;;;;;
COD.;COUNTRY;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
520;Nauru;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
524;Nepal;325;343;371;398;421;377;299;218;275;297;277;284;361;375;379;449;545;598;595;586;407;573;761
528;Netherlands;..;..;..;..;3.787;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
540;New Caledonia;84;89;105;104;100;110;100;102;101;99;101;100;103;104;99;99;112;112;108;107;114;116;121
554;New Zealand;1.397;1.518;1.488;1.470;1.592;1.776;1.897;2.022;2.083;2.322;2.349;2.387;2.431;2.408;2.420;2.488;2.568;2.532;2.672;2.817;3.098;3.461;3.677
558;Nicaragua;95;105;123;136;153;172;172;164;180;204;235;279;323;356;353;351;360;392;400;433;466;479;606
562;Niger;35;38;44;20;39;50;51;39;50;54;58;60;48;73;66;74;82;94;123;135;135;152;..
566;Nigeria;..;..;..;1.273;1.338;1.401;1.646;1.924;2.116;2.493;2.618;2.879;3.140;3.401;3.662;3.118;2.503;2.313;2.439;2.699;3.310;1.566;..
570;Niue;2;2;2;2;2;2;1;2;3;3;3;3;3;5;5;4;..;..;..;..;..;..;..
580;Northern Mariana Islands;669;728;685;481;493;517;438;466;452;525;498;429;385;388;345;375;336;399;436;455;475;526;656
578;Norway;..;..;..;998;1.037;1.006;998;1.011;1.170;1.414;1.588;1.756;1.916;1.901;1.798;2.008;2.137;..;..;..;..;..;..
512;Oman;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
586;Pakistan;328;317;313;354;354;475;407;408;385;536;682;763;732;718;679;..;..;..;..;..;..;..;..
585;Palau;53;69;74;64;55;58;54;59;63;89;81;82;88;81;71;85;111;120;108;140;162;138;123
591;Panama;300;308;344;343;359;375;392;409;450;476;546;671;912;1.044;1.007;1.096;1.209;1.349;1.392;1.450;1.764;1.564;1.484
598;Papua New Guinea;40;..;..;..;63;58;54;54;56;59;69;78;104;114;121;140;158;168;174;182;185;179;..
600;Paraguay;168;168;208;189;121;64;77;68;68;85;99;102;129;143;135;126;173;213;210;246;233;222;194
604;Peru;356;425;459;552;543;599;547;589;618;803;950;970;1.132;1.292;1.344;1.378;1.563;1.717;1.935;1.925;2.034;2.185;..
608;Philippines;1.740;2.019;2.178;2.092;2.129;1.964;1.770;1.905;1.880;2.260;2.586;2.807;3.042;3.085;2.960;3.461;3.884;4.238;4.637;4.773;5.291;5.895;6.507
616;Poland;705;772;927;1.011;1.069;1.161;1.174;1.126;1.182;1.539;2.004;2.432;2.884;2.800;2.650;3.200;3.650;4.040;4.338;4.425;4.655;4.829;..
620;Portugal;4.122;4.116;4.344;4.752;4.947;5.238;5.259;5.073;5.162;5.938;6.137;6.734;..;..;..;..;..;..;..;..;..;..;..
630;Puerto Rico;3.131;3.065;3.242;3.396;3.024;3.341;3.551;3.087;3.238;3.541;3.686;3.722;3.687;3.716;3.183;3.186;3.048;3.069;3.172;3.246;3.542;3.736;3.797
634;Qatar;..;..;..;..;..;..;..;..;..;..;..;..;..;..;851;1.011;1.182;1.357;1.515;1.683;1.771;1.813;1.673
638;Reunion;304;350;374;400;394;430;424;426;432;430;409;279;381;396;422;420;471;447;416;406;426;458;508
642;Romania;433;479;533;553;566;655;705;689;752;704;919;1.122;1.460;1.462;1.277;1.215;1.509;1.469;1.347;1.690;1.535;2.257;4.419
643;Russian Federation;2.040;2.194;2.977;2.685;2.225;2.466;2.496;3.140;3.475;4.090;4.135;4.426;5.097;5.532;4.787;5.590;6.383;7.537;8.045;8.198;7.646;..;..
646;Rwanda;..;..;..;..;..;..;..;..;..;..;..;72;79;93;99;111;134;124;133;126;171;195;..
461;Saba;7;7;8;8;7;6;6;8;7;7;7;7;7;7;8;8;..;..;..;..;..;..;..
659;Saint Kitts And Nevis;82;86;92;96;87;76;74;73;95;121;145;144;128;131;92;105;113;109;113;117;122;..;..
662;Saint Lucia;221;226;235;..;..;..;..;..;..;..;..;..;..;280;261;290;289;291;303;323;321;320;..
670;Saint Vincent And The Grenadines;91;88;93;88;86;94;86;90;92;100;104;106;96;90;81;78;78;77;74;73;77;80;77
882;Samoa;..;..;..;76;81;85;85;86;89;94;99;112;118;118;127;127;125;132;122;129;135;140;154
674;San Marino;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
678;Sao Tome And Principe;6;6;5;6;6;7;8;9;10;11;16;12;11;14;14;8;..;..;..;..;21;27;..
682;Saudi Arabia;1.834;..;..;..;..;..;..;..;..;4.194;4.287;4.857;7.341;9.282;5.301;7.006;8.778;10.756;10.860;12.395;11.967;13.591;12.444
686;Senegal;..;..;..;..;..;..;..;..;..;523;564;522;487;502;469;507;488;466;499;731;767;..;..
688;Serbia;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
690;Seychelles;115;126;125;124;121;127;127;129;119;117;125;137;159;156;155;174;193;207;230;232;275;302;348
694;Sierra Leone;14;22;8;13;11;16;24;28;38;44;40;34;32;36;37;39;52;60;81;44;24;54;..
702;Singapore;5.384;5.463;5.362;4.687;5.142;5.658;5.404;5.394;4.232;5.728;6.267;6.758;7.172;7.234;7.228;8.845;10.142;11.109;11.852;11.693;11.831;12.652;13.546
658;Sint Eustatius;20;20;19;19;19;19;20;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
663;Sint Maarten (Dutch Part);460;365;439;458;445;432;403;381;428;475;468;468;469;475;440;443;424;457;467;500;505;528;402
703;Slovakia;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
705;Slovenia;62;75;90;88;80;202;226;241;264;288;298;336;364;407;390;400;436;446;467;498;806;903;1.068
90;Solomon Islands;..;..;..;..;..;..;..;..;..;6;9;12;14;16;18;21;23;24;24;20;22;23;26
706;Somalia;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
