World Tourism Organization (2018), Compendium of Tourism Statistics dataset [Electronic], UNWTO, Madrid, data updated on 19/09/2018.;;;;;;;;;;;;;;;;;;;;;;;;
Conceptual references and technical notes are available in the Methodological Notes to the Tourism Statistics Database:;;;;;;;;;;;;;;;;;;;;;;;;
http://statistics.unwto.org/news/2018-03-23/methodological-notes-tourism-statistics-database-2018-edition;;;;;;;;;;;;;;;;;;;;;;;;
Compendium of Tourism Statistics - Basic data and indicators;;;;;;;;;;;;;;;;;;;;;;;;
Series 3.4: Outbound tourism - Total expenditure - US$ Million;;;;;;;;;;;;;;;;;;;;;;;;
COD.;COUNTRY;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
280;Germany;66.527;64.726;59.000;60.253;61.218;57.601;56.529;59.496;73.203;80.624;84.539;85.678;96.192;105.647;92.829;90.882;99.839;96.233;102.677;101.702;85.308;87.395;92.159
288;Ghana;74;59;61;145;151;162;165;184;216;270;472;575;816;870;948;882;1.026;976;982;947;1.405;1.571;1.581
300;Greece;1.495;1.396;1.537;..;4.014;4.564;4.189;2.453;2.439;2.880;3.045;3.004;3.430;3.946;4.120;3.401;3.807;3.006;3.768;4.001;3.537;3.415;3.308
308;Grenada;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
312;Guadeloupe;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
316;Guam;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
320;Guatemala;167;163;146;190;216;216;266;329;373;488;532;655;737;740;862;1.002;935;920;952;1.033;1.004;989;1.010
324;Guinea;29;37;39;34;29;13;26;38;36;29;38;41;96;30;28;17;49;41;61;29;38;16;..
624;Guinea-Bissau;6;5;4;..;..;..;6;10;21;22;19;18;41;46;26;30;39;25;..;..;..;..;..
328;Guyana;..;65;69;69;82;77;62;44;30;..;..;..;..;..;..;..;..;..;..;..;..;..;..
332;Haiti;..;..;..;..;..;173;168;172;202;206;174;239;331;383;427;431;458;473;418;475;447;503;..
340;Honduras;99;110;115;142;166;198;205;221;274;300;321;425;309;385;361;406;446;549;506;437;454;482;517
344;Hong Kong, China;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
348;Hungary;1.501;1.491;1.511;1.496;1.590;1.722;1.887;2.211;2.700;2.482;2.721;2.319;3.088;3.857;3.251;2.897;3.048;2.457;2.526;2.712;2.456;2.739;2.975
352;Iceland;..;312;327;399;440;..;..;373;524;699;991;1.084;1.336;..;..;..;..;..;..;..;..;..;..
356;India;..;..;..;..;..;3.686;4.367;4.350;4.385;5.783;8.277;8.738;10.690;12.083;..;..;..;14.107;13.884;17.492;17.686;19.184;21.856
360;Indonesia;..;..;..;..;..;..;..;5.042;4.427;4.569;4.740;5.458;6.578;8.801;6.908;8.432;8.653;9.055;10.280;10.263;9.800;9.932;10.945
