"TIME","GEO","UNIT","TRA_MEAS","SCHEDULE","TRA_COV","Value","Flag and Footnotes"
"2008Q1","Sweden","Passenger","Passengers on board (departures)","Total","Total transport","4,019,722",""
"2008Q1","Sweden","Passenger","Passengers carried","Total","Total transport","6,433,562",""
"2008Q1","Sweden","Passenger","Passengers carried (arrival)","Total","Total transport","4,019,304",""
"2008Q1","Sweden","Passenger","Passengers carried (departures)","Total","Total transport","3,969,659",""
"2008Q1","Sweden","Flight","Passengers on board","Total","Total transport",":",""
"2008Q1","Sweden","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2008Q1","Sweden","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2008Q1","Sweden","Flight","Passengers carried","Total","Total transport",":",""
"2008Q1","Sweden","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2008Q1","Sweden","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2008Q1","United Kingdom","Passenger","Passengers on board","Total","Total transport","46,158,377",""
"2008Q1","United Kingdom","Passenger","Passengers on board (arrivals)","Total","Total transport","25,778,710",""
"2008Q1","United Kingdom","Passenger","Passengers on board (departures)","Total","Total transport","25,483,052",""
"2008Q1","United Kingdom","Passenger","Passengers carried","Total","Total transport","45,881,892",""
"2008Q1","United Kingdom","Passenger","Passengers carried (arrival)","Total","Total transport","25,572,297",""
"2008Q1","United Kingdom","Passenger","Passengers carried (departures)","Total","Total transport","25,276,329",""
"2008Q1","United Kingdom","Flight","Passengers on board","Total","Total transport",":",""
"2008Q1","United Kingdom","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2008Q1","United Kingdom","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2008Q1","United Kingdom","Flight","Passengers carried","Total","Total transport",":",""
"2008Q1","United Kingdom","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2008Q1","United Kingdom","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2008Q1","Iceland","Passenger","Passengers on board","Total","Total transport","408,261",""
"2008Q1","Iceland","Passenger","Passengers on board (arrivals)","Total","Total transport","203,799",""
