World Tourism Organization (2018), Compendium of Tourism Statistics dataset [Electronic], UNWTO, Madrid, data updated on 19/09/2018.;;;;;;;;;;;;;;;;;;;;;;;;
Conceptual references and technical notes are available in the Methodological Notes to the Tourism Statistics Database:;;;;;;;;;;;;;;;;;;;;;;;;
http://statistics.unwto.org/news/2018-03-23/methodological-notes-tourism-statistics-database-2018-edition;;;;;;;;;;;;;;;;;;;;;;;;
Compendium of Tourism Statistics - Basic data and indicators;;;;;;;;;;;;;;;;;;;;;;;;
Series 3.6: Outbound tourism - Expenditure - passenger transport - US$ Million;;;;;;;;;;;;;;;;;;;;;;;;
COD.;COUNTRY;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
591;Panama;60;70;78;64;69;53;53;73;59;55;117;132;150;194;165;177;174;176;216;205;217;207;211
598;Papua New Guinea;..;..;..;..;..;..;..;..;0;1;1;27;60;46;19;19;25;48;61;43;10;7;..
600;Paraguay;40;46;72;80;72;73;58;52;48;50;51;52;75;86;100;116;134;156;182;193;213;213;213
604;Peru;131;142;174;189;209;218;228;200;206;209;218;249;275;310;316;372;412;461;513;529;660;658;702
608;Philippines;129;21;34;72;132;199;207;248;236;251;268;321;321;496;385;477;439;592;567;532;525;546;592
616;Poland;365;117;105;94;210;102;99;162;201;316;347;430;588;785;517;530;421;371;311;672;584;633;671
620;Portugal;440;409;421;447;496;525;490;506;573;605;692;806;927;958;828;786;804;701;836;973;777;647;793
630;Puerto Rico;322;316;366;368;357;402;452;391;435;499;520;547;551;548;467;371;380;369;357;325;311;332;..
634;Qatar;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;6.006;5.054;5.113;4.189;3.470;4.063;2.646
638;Reunion;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
642;Romania;52;51;18;46;26;22;26;52;93;133;148;149;182;233;297;260;329;276;117;224;271;328;737
643;Russian Federation;..;..;..;..;..;..;475;444;547;797;991;1.366;2.032;3.232;2.766;3.476;4.441;5.298;6.051;4.955;3.502;3.702;4.527
646;Rwanda;3;6;9;9;10;13;13;..;..;..;38;43;51;76;76;43;53;54;47;49;42;43;48
461;Saba;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
659;Saint Kitts And Nevis;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
662;Saint Lucia;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
670;Saint Vincent And The Grenadines;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
882;Samoa;4;5;7;8;0;..;..;..;..;7;8;11;10;11;9;10;9;12;12;3;1;1;..
674;San Marino;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
678;Sao Tome And Principe;..;..;..;1;2;2;1;1;1;2;0;1;1;0;0;1;1;1;2;1;6;5;..
682;Saudi Arabia;..;..;..;..;..;..;..;..;..;..;..;..;861;876;893;941;931;963;988;1.019;1.020;1.013;1.433
686;Senegal;82;74;75;81;82;78;69;69;74;81;79;85;99;101;102;57;99;104;115;131;..;..;..
688;Serbia;..;..;..;..;..;..;..;..;..;..;..;..;161;197;145;149;158;157;173;181;152;149;168
690;Seychelles;6;3;3;3;7;20;18;20;18;19;20;20;30;25;21;25;25;23;25;28;24;39;42
694;Sierra Leone;1;1;0;0;0;3;0;0;1;0;2;3;3;0;13;9;12;17;51;5;5;7;..
702;Singapore;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
658;Sint Eustatius;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
663;Sint Maarten (Dutch Part);..;..;..;..;..;..;..;..;..;..;..;..;0;0;23;22;24;28;25;29;26;16;12
703;Slovakia;17;35;45;52;48;45;51;64;89;155;278;170;292;431;151;202;263;169;156;154;140;179;187
705;Slovenia;31;34;36;40;37;33;32;39;52;69;69;84;117;253;178;163;172;149;142;158;139;178;136
90;Solomon Islands;4;3;6;4;4;3;4;3;2;3;7;4;7;7;6;4;1;0;1;1;0;0;0
706;Somalia;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
710;South Africa;565;567;597;592;689;599;488;440;766;1.080;1.438;1.846;2.177;2.501;2.269;2.544;3.114;3.076;3.062;3.145;2.737;2.496;2.808
728;South Sudan;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;512;133;102
724;Spain;1.287;1.275;1.482;1.831;1.941;1.788;1.937;2.071;2.259;2.711;..;..;..;..;..;..;..;..;..;..;..;..;..
144;Sri Lanka;93;91;100;124;123;143;152;175;183;203;238;293;316;349;324;375;425;509;620;659;732;753;810
275;State Of Palestine;..;..;..;16;11;7;13;7;9;8;9;3;11;10;8;6;8;4;5;7;10;14;20
736;Sudan;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
740;Suriname;24;30;30;38;34;44;39;44;62;71;77;15;6;5;3;2;7;7;5;3;12;1;6
