World Tourism Organization (2018), Compendium of Tourism Statistics dataset [Electronic], UNWTO, Madrid, data updated on 19/09/2018.;;;;;;;;;;;;;;;;;;;;;;;;
Conceptual references and technical notes are available in the Methodological Notes to the Tourism Statistics Database:;;;;;;;;;;;;;;;;;;;;;;;;
http://statistics.unwto.org/news/2018-03-23/methodological-notes-tourism-statistics-database-2018-edition;;;;;;;;;;;;;;;;;;;;;;;;
Compendium of Tourism Statistics - Basic data and indicators;;;;;;;;;;;;;;;;;;;;;;;;
Series 4.1: Tourism industries - Total number of establishments - Units;;;;;;;;;;;;;;;;;;;;;;;;
COD.;COUNTRY;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
498;Moldova, Republic Of;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
492;Monaco;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
496;Mongolia;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
499;Montenegro;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
500;Montserrat;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
504;Morocco;..;..;..;..;..;..;..;..;..;..;..;..;..;2.556;2.684;3.085;3.227;3.697;4.030;4.362;4.708;5.001;..
508;Mozambique;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;4.717;..;..;..;..;..;..;..
104;Myanmar;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
516;Namibia;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
520;Nauru;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
524;Nepal;..;..;..;..;..;..;..;..;..;..;..;2.426;2.656;2.966;3.336;3.768;4.141;4.493;5.027;5.502;5.857;6.873;7.562
528;Netherlands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
540;New Caledonia;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
554;New Zealand;..;..;..;..;..;10.899;11.021;11.565;12.257;13.271;13.890;14.089;23.260;23.918;24.327;24.298;24.564;24.559;24.776;25.395;26.232;27.897;..
558;Nicaragua;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
562;Niger;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
566;Nigeria;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;5.655;24.605;31.128;35.187;41.491;126.559;137.632;..
570;Niue;..;..;..;..;..;..;..;..;..;..;..;..;..;..;26;40;..;..;..;..;..;..;..
580;Northern Mariana Islands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
578;Norway;..;..;..;..;..;..;..;..;..;..;..;..;24.608;21.301;21.447;21.792;21.958;22.437;22.817;23.513;24.115;24.692;..
